観測地点番号,観測地点名
84266,佐世保
84306,西海
84341,有川
84361,長浦岳
84371,大村
84441,諫早
84496,長崎
84519,雲仙岳
84523,島原
84536,福江
84537,上大津
84561,口之津
84597,脇岬
85033,唐津
85046,北山
85106,鳥栖
85116,伊万里
85142,佐賀
85161,嬉野
85166,白石
85176,川副
86006,鹿北
86066,南小国
86086,岱明
86101,菊池
86111,阿蘇乙姫
86141,熊本
86146,益城
86157,南阿蘇
86161,高森
86181,宇土
86197,山都
86216,三角
86236,甲佐
86271,松島
86316,本渡
86336,八代
86396,田浦
86407,山江
86411,五木
86451,水俣
86461,一勝地
86467,人吉
86477,上
86478,多良木
86481,湯前横谷
86491,牛深
87041,高千穂
87066,古江
87071,鞍岡
87086,日之影
87127,諸塚
87136,北方
87141,延岡
87157,椎葉
87181,日向
87206,神門
87231,西米良
87251,都農
87293,高鍋
87301,加久藤
87331,西都
87346,えびの高原
87352,小林
87361,野尻
87371,国富
87376,宮崎
87406,田野
87412,赤江
87426,都城
87461,酒谷
87492,油津
87501,串間
82036,小呂島
88061,阿久根
88066,出水
88081,大口
88101,紫尾山
88107,さつま柏原
88131,中甑
88151,川内
88166,溝辺
88211,八重山
88261,東市来
88286,牧之原
88317,鹿児島
88331,輝北
88341,大隅
88371,加世田
88392,吉ケ別府
88406,志布志
88432,喜入
88442,鹿屋
88447,肝付前田
88466,枕崎
88486,指宿
88506,内之浦
88536,田代
88551,佐多
88612,種子島
88621,中種子
88666,上中
88686,屋久島
88706,尾之間
88736,中之島
88746,平島
88756,諏訪之瀬島
88776,小宝島
88781,宝島
88821,笠利
88837,名瀬
88851,喜界島
88901,古仁屋
88931,天城
88956,伊仙
88971,沖永良部
88986,与論島
91011,伊是名
91021,奥
91046,国頭
91066,本部
91081,東
91096,粟国
91107,名護
91121,読谷
91141,北原
91146,久米島
91151,渡名喜
91161,胡屋
91166,宮城島
91181,渡嘉敷
91197,那覇
91236,安次嶺
91241,糸数
92006,北大東
92011,南大東
92012,旧東
93012,下地島
93041,宮古島
93042,鏡原
93051,城辺
93062,仲筋
94001,伊原間
94011,所野
94017,与那国島
94036,川平
94062,西表島
94081,石垣島
94086,盛山
94101,大原
94116,波照間
